Client,customer_id,Months billed (of 13),Billed last 12mo,Median monthly invoice,"Suggested recurring (25th pct, last 6mo)",Active endpoints,Tickets last 90d,Prior plan name(s),Plan (taxonomy),Billing basis,Recurring $/mo,Contract start,Contract end / M2M,SLA tier,Covers all tickets & assets? (Y/N),Notes
"FW Walton, Inc.",33810072,11,322657,29602,29100,109,266,FWW - Managed IT Services,,,,,,,,
Cobalt Engineering,16527837,13,159055,11707,11650,102,8,Co-Managed IT,,,,,,,,
Bay Oil Co.,12432163,14,123485,8934,9000,35,19,Managed Workplace,,,,,,,,
"MacroFab, Inc.",32226497,13,99663,7988,7050,0,1,,,,,,,,,
Sophia Oilfield Supply Services,29076492,14,84063,6080,6700,12,47,,,,,,,,,
Burrows Financial Holdings ,30173825,12,56261,4725,4500,9,7,Managed Workplace – Fully Managed Cloud Services,,,,,,,,
Vanderford Air and Plumbing,34611186,11,43851,4030,4000,17,20,,,,,,,,,
Curry Excavation & Site Work Inc.,12701269,13,36935,2197,2200,8,6,Managed Workplace / Managed Workplace - 2024 / Managed Workplace – Fully Managed Cloud Services,,,,,,,,
Quality Drywall and Service,13408426,14,36468,2250,2250,10,4,Managed Workplace,,,,,,,,
"TDEC, Inc",14623202,13,34152,2665,2650,11,3,Managed Workplace / Managed Workplace – Fully Managed Cloud Services,,,,,,,,
Superior Plant Rentals LLC - Corporate,23928984,14,30853,1169,1150,14,4,20 Hours Monthly,,,,,,,,
Millforest Dental Group,12315250,13,28666,2040,2050,28,16,Managed Workplace | Classic,,,,,,,,
Martin Walton Attorneys at Law,12309358,13,28446,2172,2150,8,12,Managed Workplace / Managed Workplace - 2024 / Managed Workplace – Fully Managed Cloud Services,,,,,,,,
Avery Oil Company,27963471,13,17802,1488,1500,1,4,,,,,,,,,
HSE Solutions,23077043,13,12864,900,900,11,1,,,,,,,,,
The Hughes Law Firm,12427070,14,10133,643,650,9,1,On-Demand | M365,,,,,,,,
True North Marine,18450271,13,9048,381,500,5,1,On-Demand Business Services,,,,,,,,
Jay-Co Enterprises,26885742,13,8463,308,300,6,1,,,,,,,,,
Ocean Marine Service International,23077096,13,6891,459,450,0,2,,,,,,,,,
"R. Lutes, Inc.",16607348,3,6527,1548,850,6,0,On-Demand | M365,,,,,,,,
Eric Putnam BCMA,29627277,13,5218,338,350,0,9,,,,,,,,,
Ken Johnson,17872239,13,4757,341,350,2,0,Managed Workplace – Fully Managed Cloud Services,,,,,,,,
Crossing Borders Group,13377310,13,3878,285,300,0,2,On-Demand | M65 - Premium Support,,,,,,,,
Blaser Services,20290208,1,1965,1965,0,4,0,,,,,,,,,
OneSource,18039457,1,1413,1413,0,15,1,Internal IT,,,,,,,,
Big 7 Used Cars,19117229,4,1386,390,400,7,2,On-Demand Business Services,,,,,,,,
Hopping Eye Associates,17977387,2,1277,747,0,21,0,On-Demand Business Services,,,,,,,,
"Global Envirotech, Inc",21843036,4,974,216,200,5,0,,,,,,,,,
Southside Church of Christ,15366438,2,892,446,0,3,0,,,,,,,,,
ZALEMO Corporation,31686312,13,800,57,50,0,0,,,,,,,,,
Mass Transfer Ltd.,31659950,1,162,162,0,7,0,,,,,,,,,
